text,label,is_augmented,source,augmentation_type
"Dear Valued Voucher Holder, your exclusive offer is ready for redemption. Please visit http://www.wtlp.co.uk/text within 24 hours to claim your reward. Terms and conditions apply.",phishing,True,gpt_augmented,enhance
Haiyoh... Maybe your hamster was jealous of million,ham,False,mendeley_ham,original
Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins,phishing,False,mendeley_original,original
Congratulations! You’ve been chosen to receive a £1000 gift card or an exclusive vacation package! Call us now at 08001234567 to claim your prize!,phishing,True,gpt_augmented,rephrase
:-( sad puppy noise,ham,False,mendeley_ham,original
PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS),ham,False,mendeley_ham,original
Fine am simply sitting.,ham,False,mendeley_ham,original
Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx,ham,False,mendeley_ham,original
Sorry I missed your call let's talk when you have the time. I'm on 07090201529,phishing,False,mendeley_original,original
"Yo, the game almost over? Want to go to walmart soon",ham,False,mendeley_ham,original
Networking technical support associate.,ham,False,mendeley_ham,original
To day class is there are no class.,ham,False,mendeley_ham,original
Sorry completely forgot * will pop em round this week if your still here?,ham,False,mendeley_ham,original
"Congratulations! Your exclusive discount code RP176781 is ready. Claim it now to enjoy your savings. To opt-out, reply STOP. Visit www.regalportfolio.co.uk or call Customer Services at 0871 720 5546.",phishing,True,gpt_augmented,enhance
Congratulations! You have been selected to receive a SiPix Digital Camera. Please call 09061221067 from a landline to confirm your delivery within 28 days. Act fast!,phishing,True,gpt_augmented,enhance
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent Pls reply..,ham,False,mendeley_ham,original
Ok then i will come to ur home after half an hour,ham,False,mendeley_ham,original
Then dun wear jeans lor...,ham,False,mendeley_ham,original
Did he just say somebody is named tampa,ham,False,mendeley_ham,original
"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time",ham,False,mendeley_ham,original
"Attention! Your recent purchase of €42.84 has been confirmed. If you didn’t make this order, click here immediately: http://192.168.1.10:8080/verify.",phishing,True,gpt_augmented,rephrase
"Congratulations! You've received 500 complimentary SMS messages. To activate, please call us at 0800-123-4567 now! Don't miss out!",phishing,True,gpt_augmented,rephrase
Congratulations! You've been selected to receive a SiPix Digital Camera. Please call us at 09061221067 from a landline within 24 hours to confirm your delivery.,phishing,True,gpt_augmented,enhance
Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8,ham,False,mendeley_ham,original
"Please call our customer service representative on FREEPHONE 0808 145 5645 between 9am-11pm as you have WON a guaranteed INR 5,00,000 cash  prize!",phishing,False,mendeley_original,original
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,phishing,False,mendeley_original,original
"Oh k...i'm watching here:), I know what happened",ham,False,mendeley_ham,original
