label,text
ham,Yeah we do totes. When u wanna?
smishing,"Urgent Message for CIBC Account Holder, Kindly login to confirm your login information Login to our secure server to check your information http://cibc.mobileupdate.granpianostudio.com/cibcfullz/Internet Support"
ham,I cant pick the phone right now. Anything urgent?
ham,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;
ham,Lol. Well quality aint bad at all so i aint complaining
spam,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123"
spam,"Mobile Internet ka full fayda. Ab karo download MP3, images, videos, games sirf Re1 mein. Click Now! http://10.11.233.29/vodafone/66826/index.php3 Surfing@10p/10kb"
ham,Also maaaan are you missing out
ham,Not directly behind... Abt 4 rows behind ü...
ham,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx
ham,Where at were hungry too
ham,Finally the match heading towards draw as your prediction.
spam,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1
ham,Senthil group company Apnt 5pm.
ham,Can come my room but cannot come my house cos my house still messy... Haha...
ham,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!
ham,Ok lor but not too early. Me still having project meeting now.
spam,3. You have received your mobile content. Enjoy
ham,BABE !!! I miiiiiiissssssssss you ! I need you !!! I crave you !!! :-( ... Geeee ... I'm so sad without you babe ... I love you ...
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends�."
ham,CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it.
ham,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?
ham,"Sounds good, keep me posted"
spam,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049."
ham,"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit"
spam,As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts
ham,Yeah just open chat and click friend lists. Then make the list. Easy as pie
ham,Ok lor... Or u wan me go look 4 u?
ham,Rats. Hey did u ever vote for the next themes?
ham,Are there TA jobs available? Let me know please cos i really need to start working
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
spam,Overcome programming challenges for multicore and learn the techniques to scale reliability. Attend Intel session at 3.45 PM at Microsoft Community TechDays
ham,Happy birthday... May u find ur prince charming soon n dun work too hard...
